Month,"East North Central
(NSA)","East North Central
(SA)","East South Central
(NSA)","East South Central
(SA)","Middle Atlantic
(NSA)","Middle Atlantic
(SA)","Mountain

(NSA)","Mountain

(SA)","New England

(NSA)","New England

(SA)","Pacific

(NSA)","Pacific

(SA)","South Atlantic
(NSA)","South Atlantic
(SA)","West North Central
(NSA)","West North Central
(SA)","West South Central
(NSA)","West South Central
(SA)","USA

(NSA)","USA

(SA)"
,,,,,,,,,,,,,,,,,,,,
1/1/91,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2/1/91,101.01,101.08,100.89,100.42,99.98,100.05,98.44,98.65,101.87,102.32,100.20,100.52,100.57,100.40,100.64,100.65,99.88,99.65,100.42,100.43
3/1/91,101.36,100.98,100.99,100.57,99.94,99.72,100.14,100.49,101.71,101.40,99.98,100.12,101.07,100.64,100.40,100.09,100.77,100.52,100.72,100.49
4/1/91,101.75,101.04,100.89,100.58,99.36,99.07,100.42,100.30,101.07,100.98,100.14,100.08,101.00,100.56,100.92,100.41,100.40,100.07,100.71,100.34
5/1/91,102.39,101.44,101.22,100.81,99.62,99.14,100.73,100.37,99.76,99.73,100.35,100.07,100.87,100.63,100.69,100.19,100.85,100.31,100.87,100.40
6/1/91,102.82,101.56,102.17,101.56,99.68,98.83,102.10,101.30,99.26,98.70,100.41,99.84,101.39,100.73,101.49,100.54,102.01,100.96,101.38,100.53
7/1/91,103.01,101.92,101.98,101.55,100.11,99.07,101.44,101.11,99.24,98.75,100.43,99.82,101.07,100.54,101.36,100.41,101.74,100.81,101.32,100.55
8/1/91,103.17,102.09,101.70,100.82,99.63,98.60,101.96,101.27,98.37,97.89,100.74,99.94,100.84,100.07,101.83,100.74,101.48,100.55,101.27,100.37
9/1/91,102.88,102.06,101.98,101.19,100.18,99.26,101.89,101.46,100.06,99.11,100.37,99.55,100.77,100.16,101.68,100.89,102.09,101.39,101.38,100.62
10/1/91,103.10,102.41,101.95,101.63,99.98,98.96,103.13,102.40,99.30,98.73,100.87,100.34,101.69,100.97,101.90,101.48,101.35,100.63,101.59,100.93
11/1/91,104.01,103.36,102.94,102.32,100.94,100.08,104.13,103.75,98.37,97.36,100.85,100.61,102.12,101.30,101.90,101.50,101.92,101.30,102.09,101.46
12/1/91,103.77,103.47,103.50,103.33,100.66,100.34,103.57,103.37,99.09,98.62,101.05,100.68,101.96,101.62,102.94,102.62,102.06,101.81,102.16,101.86
1/1/92,103.94,103.96,103.39,103.40,100.71,100.73,104.35,104.42,99.87,99.89,100.94,100.94,101.94,101.92,102.48,102.49,102.36,102.36,102.25,102.27
2/1/92,104.40,104.46,104.67,104.22,101.69,101.81,105.05,105.28,99.87,100.37,101.05,101.39,102.86,102.68,102.99,103.00,103.45,103.21,102.93,102.96
3/1/92,105.57,105.19,104.43,103.99,101.35,101.16,105.61,105.97,99.71,99.43,100.64,100.79,102.79,102.37,103.96,103.62,102.75,102.51,103.04,102.82
4/1/92,106.01,105.27,103.85,103.53,101.08,100.79,105.84,105.69,98.53,98.45,100.42,100.34,102.35,101.90,104.17,103.63,103.09,102.74,102.95,102.57
5/1/92,106.57,105.60,104.48,104.07,100.83,100.32,106.59,106.16,97.61,97.56,100.52,100.21,102.36,102.12,104.45,103.89,103.21,102.61,103.11,102.61
6/1/92,107.00,105.67,104.88,104.21,101.20,100.29,107.68,106.81,97.10,96.47,100.32,99.72,102.55,101.88,105.31,104.30,104.05,102.99,103.47,102.58
7/1/92,107.19,106.05,105.39,104.90,101.38,100.27,107.45,107.02,97.26,96.66,100.67,100.01,102.88,102.30,105.76,104.73,104.21,103.26,103.72,102.90
8/1/92,107.63,106.49,106.43,105.48,101.40,100.29,108.72,107.93,98.21,97.68,100.97,100.13,103.94,103.12,106.06,104.91,104.97,103.99,104.34,103.39
9/1/92,107.64,106.77,106.80,105.99,102.15,101.20,108.82,108.31,98.51,97.58,101.03,100.20,104.27,103.62,106.41,105.53,104.90,104.16,104.57,103.77
10/1/92,108.25,107.49,107.06,106.68,102.42,101.39,110.12,109.35,98.52,97.98,100.11,99.59,104.48,103.77,106.17,105.69,105.63,104.90,104.77,104.08
11/1/92,108.52,107.86,107.03,106.39,102.94,102.12,110.42,110.05,99.47,98.50,99.91,99.68,104.40,103.58,106.57,106.10,106.25,105.60,105.01,104.38
12/1/92,108.80,108.50,107.07,106.86,101.56,101.27,111.39,111.16,97.79,97.38,99.54,99.21,103.70,103.37,106.73,106.38,105.29,105.06,104.58,104.28
1/1/93,108.53,108.59,107.08,107.08,100.85,100.92,111.85,112.01,96.71,96.70,98.68,98.71,103.47,103.40,107.40,107.47,105.34,105.36,104.31,104.34
2/1/93,108.37,108.42,107.00,106.61,100.39,100.63,111.90,112.17,94.64,95.16,97.66,98.04,103.39,103.20,107.79,107.84,105.70,105.48,104.02,104.07
3/1/93,109.30,108.95,108.55,108.09,100.73,100.58,112.13,112.51,95.60,95.39,98.15,98.30,104.18,103.77,107.30,106.92,106.37,106.13,104.65,104.44
4/1/93,110.32,109.54,108.80,108.41,101.70,101.41,114.10,113.88,96.57,96.51,98.43,98.34,104.97,104.52,108.90,108.34,106.94,106.56,105.51,105.11
5/1/93,110.92,109.90,109.34,108.87,102.28,101.68,115.25,114.73,96.31,96.14,98.25,97.93,104.85,104.59,109.64,108.98,107.75,107.05,105.87,105.32
6/1/93,112.00,110.59,109.75,108.97,102.49,101.48,116.29,115.37,97.80,96.91,98.57,97.94,105.85,105.14,110.58,109.49,108.68,107.59,106.67,105.70
7/1/93,112.25,111.03,110.07,109.48,102.27,101.05,117.22,116.62,97.44,96.64,97.56,96.84,105.69,105.04,111.04,109.92,109.16,108.18,106.65,105.74
8/1/93,112.71,111.51,111.02,110.01,102.53,101.28,118.52,117.60,97.11,96.41,98.04,97.19,106.12,105.24,111.96,110.72,109.46,108.38,107.13,106.10
9/1/93,113.21,112.27,111.95,111.10,102.28,101.34,119.69,119.08,96.88,95.95,97.70,96.93,106.37,105.67,112.33,111.33,109.53,108.76,107.33,106.50
10/1/93,113.33,112.51,111.49,111.04,102.48,101.51,120.62,119.79,95.94,95.40,97.72,97.26,106.43,105.76,112.62,112.08,110.39,109.64,107.48,106.79
11/1/93,113.58,112.92,112.33,111.72,102.40,101.70,121.15,120.81,97.28,96.40,96.92,96.74,106.68,105.89,113.02,112.50,110.62,109.94,107.66,107.05
12/1/93,113.84,113.55,112.42,112.19,101.91,101.65,121.69,121.48,97.21,96.86,97.10,96.84,107.05,106.74,113.66,113.31,110.90,110.67,107.85,107.57
1/1/94,114.10,114.23,112.97,112.98,102.15,102.27,122.09,122.34,96.10,96.07,96.64,96.73,106.78,106.65,113.72,113.94,110.66,110.70,107.78,107.84
2/1/94,114.45,114.49,114.26,113.94,101.05,101.42,123.46,123.81,96.23,96.89,96.16,96.60,107.11,106.92,113.75,113.85,111.25,111.05,107.92,108.02
3/1/94,115.25,114.91,114.17,113.70,101.66,101.56,124.40,124.77,97.91,97.87,96.39,96.52,107.67,107.24,115.26,114.84,112.41,112.18,108.66,108.46
4/1/94,116.44,115.62,115.33,114.86,101.83,101.52,126.03,125.69,96.78,96.74,96.90,96.77,108.34,107.87,115.72,115.14,112.32,111.89,109.22,108.78
5/1/94,117.26,116.16,115.69,115.15,102.60,101.90,127.83,127.16,97.36,97.10,96.78,96.37,108.34,108.05,116.41,115.61,113.49,112.67,109.78,109.14
6/1/94,118.00,116.49,116.40,115.50,102.82,101.69,129.00,128.01,98.87,97.73,97.14,96.45,109.12,108.33,117.15,115.98,113.78,112.64,110.41,109.36
7/1/94,117.97,116.65,116.56,115.87,103.25,101.89,129.05,128.21,98.22,97.22,97.10,96.26,109.33,108.61,117.67,116.42,113.67,112.64,110.50,109.47
8/1/94,118.46,117.18,117.50,116.42,103.13,101.70,130.27,129.20,97.56,96.72,96.99,96.08,109.87,108.90,118.14,116.80,114.17,113.01,110.83,109.69
9/1/94,118.57,117.55,117.09,116.26,102.25,101.33,130.34,129.58,97.81,96.92,97.11,96.39,109.93,109.16,117.81,116.72,113.86,113.05,110.69,109.82
10/1/94,118.99,118.10,117.63,117.17,102.43,101.52,131.28,130.43,97.15,96.63,96.38,95.97,109.89,109.26,117.72,117.08,114.21,113.48,110.75,110.06
11/1/94,119.31,118.66,118.37,117.80,101.61,101.05,131.17,130.88,97.38,96.70,95.91,95.77,110.64,109.91,118.50,117.95,114.32,113.62,110.88,110.33
12/1/94,118.97,118.70,117.93,117.68,100.41,100.18,131.86,131.72,97.19,96.99,96.08,95.92,110.28,109.98,117.89,117.58,114.13,113.88,110.57,110.31
1/1/95,119.30,119.51,117.79,117.79,100.50,100.67,131.52,131.90,96.41,96.40,95.96,96.13,110.57,110.37,117.92,118.30,114.29,114.35,110.61,110.71
2/1/95,120.14,120.16,119.30,119.07,100.41,100.90,132.88,133.31,96.27,96.97,96.04,96.52,110.98,110.78,118.81,118.95,114.41,114.23,111.07,111.21
3/1/95,120.65,120.31,119.84,119.36,101.05,100.97,132.81,133.09,97.03,97.17,95.63,95.71,110.97,110.53,119.63,119.19,114.48,114.23,111.32,111.11
4/1/95,121.87,121.03,119.57,118.99,101.65,101.35,134.20,133.71,97.18,97.17,95.22,95.03,111.02,110.52,120.36,119.77,115.59,115.11,111.79,111.32
5/1/95,122.13,120.94,120.02,119.41,101.79,100.99,134.79,133.98,98.03,97.67,96.03,95.52,110.97,110.63,121.11,120.15,116.14,115.18,112.20,111.46
6/1/95,123.35,121.77,121.98,120.95,102.55,101.30,136.35,135.31,98.74,97.36,96.18,95.41,111.89,111.01,122.12,120.85,116.25,115.07,113.03,111.89
7/1/95,123.83,122.38,122.22,121.43,102.61,101.13,136.94,135.88,99.29,98.13,96.46,95.53,112.73,111.97,122.70,121.33,117.04,115.93,113.54,112.40
8/1/95,124.40,123.06,122.30,121.20,103.43,101.86,137.68,136.51,99.07,98.08,96.65,95.71,112.93,111.91,123.20,121.80,117.33,116.07,113.90,112.69
9/1/95,124.62,123.53,122.55,121.74,102.19,101.30,138.13,137.26,98.49,97.61,96.08,95.44,113.22,112.42,123.74,122.56,117.63,116.81,113.82,112.93
10/1/95,124.95,123.99,123.41,122.92,101.69,100.86,137.78,136.96,98.39,97.86,95.81,95.46,112.81,112.24,123.80,123.09,117.30,116.60,113.69,113.02
11/1/95,124.87,124.21,123.57,123.03,101.40,100.97,137.79,137.59,98.28,97.79,95.57,95.46,113.34,112.71,123.61,123.00,117.73,117.02,113.74,113.23
12/1/95,125.24,124.99,123.75,123.49,101.60,101.39,138.58,138.57,98.06,97.96,95.49,95.44,113.07,112.80,124.14,123.90,118.11,117.86,113.89,113.68
1/1/96,125.02,125.34,123.99,123.97,101.25,101.44,138.42,138.90,100.19,100.29,95.55,95.81,113.81,113.58,123.57,124.08,117.65,117.71,113.98,114.13
2/1/96,126.16,126.16,123.75,123.57,101.19,101.77,138.84,139.35,98.71,99.49,95.20,95.69,113.58,113.36,124.48,124.65,118.34,118.18,114.13,114.29
3/1/96,126.96,126.58,124.73,124.25,102.21,102.15,140.08,140.21,98.78,99.09,95.65,95.67,114.65,114.17,125.61,125.13,118.67,118.43,114.92,114.69
4/1/96,128.44,127.61,125.58,124.93,102.10,101.82,141.48,140.86,99.45,99.39,95.81,95.55,114.89,114.34,126.62,126.01,119.05,118.50,115.50,114.99
5/1/96,129.18,127.87,126.43,125.73,103.02,102.17,141.79,140.88,100.56,100.11,96.15,95.50,115.11,114.66,127.24,126.11,119.83,118.78,116.11,115.26
6/1/96,129.67,128.02,126.88,125.72,103.39,101.99,142.43,141.38,101.77,100.20,96.47,95.61,115.54,114.54,127.66,126.27,120.59,119.37,116.62,115.37
7/1/96,130.28,128.69,127.83,126.96,103.67,102.07,143.21,142.02,101.44,100.11,96.81,95.82,116.02,115.20,128.45,126.94,120.39,119.19,117.02,115.78
8/1/96,130.03,128.60,127.83,126.75,103.79,102.14,142.87,141.69,101.54,100.39,96.53,95.58,116.34,115.29,128.60,127.10,120.74,119.41,117.05,115.78
9/1/96,130.23,129.07,127.96,127.21,102.87,101.98,143.35,142.38,101.65,100.67,96.26,95.70,116.48,115.68,128.90,127.66,120.60,119.73,116.99,116.08
10/1/96,130.06,129.04,128.51,128.07,102.57,101.79,143.51,142.74,101.16,100.53,96.35,96.07,116.27,115.74,128.62,127.85,120.31,119.65,116.86,116.20
11/1/96,130.95,130.32,128.18,127.65,102.75,102.40,143.12,142.94,100.74,100.36,96.38,96.28,116.08,115.53,128.83,128.19,120.57,119.88,116.98,116.51
12/1/96,130.71,130.51,128.60,128.32,102.08,101.87,142.81,142.92,101.15,101.12,96.33,96.40,116.35,116.11,129.15,129.00,120.78,120.52,116.97,116.81
1/1/97,130.18,130.57,128.57,128.47,102.14,102.29,143.43,143.94,101.32,101.48,95.80,96.13,116.75,116.49,128.50,129.08,120.32,120.39,116.82,116.98
2/1/97,130.80,130.78,129.88,129.70,101.85,102.49,143.68,144.22,100.17,100.93,95.75,96.23,117.15,116.93,129.03,129.21,120.97,120.82,117.09,117.26
3/1/97,132.05,131.62,129.94,129.48,102.49,102.45,145.05,144.97,101.04,101.44,96.71,96.65,118.20,117.74,130.69,130.18,121.48,121.22,118.04,117.78
4/1/97,132.34,131.51,130.82,130.12,103.13,102.88,145.97,145.24,102.69,102.58,97.92,97.59,117.91,117.36,130.63,129.99,121.96,121.33,118.57,118.03
5/1/97,133.80,132.37,130.47,129.69,104.47,103.64,146.60,145.62,103.07,102.53,98.59,97.80,118.10,117.56,132.23,130.97,123.05,121.96,119.41,118.47
6/1/97,134.27,132.58,131.46,130.22,104.33,102.81,146.86,145.74,104.40,102.71,98.76,97.81,119.15,118.07,131.91,130.39,123.22,121.98,119.83,118.50
7/1/97,134.56,132.85,131.78,130.85,104.70,103.04,147.37,146.12,104.32,102.92,99.68,98.67,118.62,117.78,133.06,131.42,123.47,122.19,120.15,118.84
8/1/97,134.83,133.34,132.06,131.03,105.12,103.44,147.76,146.58,104.84,103.56,100.02,99.08,119.60,118.56,133.10,131.52,123.51,122.15,120.56,119.26
9/1/97,134.73,133.51,131.53,130.77,104.08,103.12,147.60,146.60,104.38,103.28,99.92,99.40,119.41,118.59,133.59,132.29,123.53,122.66,120.32,119.39
10/1/97,135.08,134.02,131.46,131.03,105.29,104.52,148.08,147.36,105.42,104.63,99.90,99.65,119.71,119.17,133.68,132.86,123.88,123.23,120.72,120.05
11/1/97,134.96,134.35,132.21,131.67,103.86,103.49,147.65,147.47,105.39,105.02,100.93,100.83,120.24,119.76,133.55,132.86,124.58,123.92,120.88,120.42
12/1/97,134.88,134.73,132.49,132.20,104.48,104.24,148.01,148.23,105.61,105.61,100.69,100.83,120.37,120.15,133.25,133.20,124.35,124.12,120.93,120.80
1/1/98,134.78,135.20,133.01,132.81,104.04,104.11,147.92,148.43,104.44,104.68,101.23,101.63,120.40,120.13,134.61,135.20,125.11,125.22,121.11,121.27
2/1/98,136.01,136.00,132.96,132.75,104.19,104.86,149.11,149.65,106.69,107.56,102.42,102.88,121.24,121.01,135.11,135.32,125.62,125.49,121.96,122.13
3/1/98,136.79,136.32,134.15,133.72,105.77,105.80,149.84,149.56,106.88,107.40,103.44,103.30,121.81,121.34,135.85,135.36,126.23,125.95,122.82,122.54
4/1/98,137.56,136.74,134.93,134.20,106.34,106.14,151.52,150.78,108.36,108.23,104.97,104.56,122.49,121.87,136.20,135.51,126.87,126.12,123.72,123.13
5/1/98,138.65,137.12,135.81,134.96,106.99,106.23,151.90,150.86,109.48,108.86,106.11,105.15,122.90,122.23,137.69,136.32,127.95,126.81,124.62,123.60
6/1/98,139.60,137.86,136.80,135.52,108.78,107.09,152.49,151.29,111.54,109.71,107.16,106.07,124.06,122.86,139.39,137.74,128.84,127.57,125.84,124.40
7/1/98,139.97,138.13,136.46,135.48,108.71,106.98,153.07,151.85,111.84,110.25,107.50,106.47,124.09,123.15,139.58,137.80,129.76,128.36,126.10,124.70
8/1/98,140.30,138.71,136.62,135.64,109.41,107.67,153.87,152.71,112.61,111.12,108.17,107.20,124.43,123.37,140.10,138.40,130.19,128.77,126.60,125.24
9/1/98,140.82,139.50,137.79,136.99,109.47,108.38,154.13,153.13,113.35,112.07,108.31,107.76,125.18,124.31,140.79,139.42,130.29,129.36,127.05,126.04
10/1/98,141.40,140.27,137.63,137.14,109.30,108.47,154.73,154.05,112.98,111.99,109.07,108.81,125.18,124.56,141.15,140.27,130.60,129.89,127.31,126.57
11/1/98,141.68,141.10,138.67,138.11,109.48,109.01,154.53,154.28,114.59,114.18,109.58,109.48,125.75,125.32,142.80,142.09,130.92,130.28,127.87,127.40
12/1/98,141.58,141.49,138.63,138.34,110.16,109.91,154.94,155.22,114.61,114.59,109.35,109.50,125.98,125.74,142.80,142.84,131.87,131.63,128.08,127.97
1/1/99,141.63,142.04,139.14,138.79,110.54,110.49,155.02,155.51,114.64,115.03,110.75,111.20,126.73,126.44,143.11,143.66,131.75,131.93,128.56,128.70
2/1/99,142.80,142.81,139.75,139.56,110.11,110.82,155.92,156.41,115.27,116.23,111.15,111.58,127.28,127.03,143.18,143.48,132.31,132.20,129.05,129.23
3/1/99,143.77,143.25,140.68,140.26,110.64,110.73,158.32,157.89,116.24,116.80,112.74,112.53,127.96,127.51,144.80,144.31,132.94,132.58,130.09,129.79
4/1/99,144.58,143.73,140.90,140.18,111.75,111.60,158.59,157.82,118.08,117.95,113.74,113.28,128.86,128.16,145.92,145.14,134.42,133.51,131.09,130.45
5/1/99,146.29,144.66,141.68,140.81,113.14,112.44,159.72,158.61,119.69,118.99,115.01,113.94,129.86,129.06,147.25,145.73,135.14,133.95,132.32,131.22
6/1/99,146.94,145.09,142.27,140.93,115.37,113.53,160.64,159.30,121.81,119.79,115.95,114.72,130.49,129.20,148.53,146.65,135.93,134.58,133.38,131.81
7/1/99,147.81,145.83,142.52,141.49,116.16,114.33,161.39,160.18,122.92,121.02,116.30,115.26,130.99,129.93,149.04,147.07,136.99,135.48,134.05,132.55
8/1/99,148.51,146.80,142.92,141.94,116.67,114.87,162.27,161.03,123.89,122.18,117.19,116.19,131.70,130.66,150.42,148.58,137.50,136.02,134.79,133.37
9/1/99,148.44,147.00,143.39,142.53,116.34,115.05,163.41,162.41,124.80,123.28,117.60,116.98,131.76,130.82,149.58,148.13,137.19,136.20,134.86,133.74
10/1/99,148.88,147.69,142.91,142.29,117.27,116.35,162.99,162.29,125.00,123.79,118.37,118.06,132.73,132.01,149.70,148.73,137.97,137.16,135.42,134.59
11/1/99,148.60,148.01,143.84,143.26,117.23,116.61,163.56,163.21,125.04,124.57,118.80,118.74,132.79,132.38,150.28,149.52,138.35,137.73,135.63,135.13
12/1/99,148.82,148.80,144.08,143.81,117.24,116.99,163.57,163.83,126.31,126.29,119.29,119.46,132.93,132.67,150.19,150.27,138.58,138.35,135.87,135.77
